is_match,tournament,round,player_1,deck_1,player_2,deck_2,playlist_id,original_title
True,YCS Utrecht 2020,Round 7,Eike Ruting,Unknown,David Erpen,Unknown,PLIm0Rt8gzRbuO5Y9S6sLDEcy9ceIQpkHB,YCS Utrecht 2020 - Round 7 - Eike Ruting vs. David Erpen
True,2018 YCS Utrecht,Round 2,Jurre de Mare,Unknown,Gabriele Sgotti,Unknown,PLIm0Rt8gzRburE-D3lYnL5QL6INZRSHn2,2018 YCS: Yu-Gi-Oh Championship Series - Utrecht - Round 2 - Jurre de Mare vs Gabriele Sgotti
True,YCS Utrecht 2018,Round 3,Daniel Brütt,Unknown,Daniel Winkler,Unknown,PLIm0Rt8gzRburE-D3lYnL5QL6INZRSHn2,2018 YCS: Yu-Gi-Oh Championship Series - Utrecht - Round 3 - Daniel Brütt vs Daniel Winkler
True,Yu-Gi-Oh Championship Series - Utrecht 2018,Round 5,Marvin Weber,Unknown,Lucien Hauer,Unknown,PLIm0Rt8gzRburE-D3lYnL5QL6INZRSHn2,2018 YCS: Yu-Gi-Oh Championship Series - Utrecht - Round 5 - Marvin Weber vs Lucien Hauer
True,YCS Utrecht,Round 7,Maximilian Gröschler,Unknown,Anthony Lopes,Unknown,PLIm0Rt8gzRburE-D3lYnL5QL6INZRSHn2,2018 YCS: Yu-Gi-Oh Championship Series - Utrecht - Round 7 - Maximilian Gröschler vs Anthony Lopes
True,Yu-Gi-Oh Championship Series - Utrecht 2018,Round 6,Themis Gkyzis,Unknown,Elias Stahlberg,Unknown,PLIm0Rt8gzRburE-D3lYnL5QL6INZRSHn2,2018 YCS: Yu-Gi-Oh Championship Series - Utrecht - Round 6 - Themis Gkyzis vs Elias Stahlberg
True,YCS Utrecht 2018,Round 9,Valentin Migdal,Unknown,Stefano Bosso,Unknown,PLIm0Rt8gzRburE-D3lYnL5QL6INZRSHn2,2018 YCS: Yu-Gi-Oh Championship Series - Utrecht - Round 9 - Valentin Migdal vs Stefano Bosso
True,Yu-Gi-Oh Championship Series - Utrecht 2018,Round 8,Pascal Kihm,Unknown,Zekias Shah,Unknown,PLIm0Rt8gzRburE-D3lYnL5QL6INZRSHn2,2018 YCS: Yu-Gi-Oh Championship Series - Utrecht - Round 8 - Pascal Kihm vs Zekias Shah
True,Yu-Gi-Oh Championship Series - Utrecht,Round 10,Luke Parkes,Unknown,Wolf Lechte,Unknown,PLIm0Rt8gzRburE-D3lYnL5QL6INZRSHn2,2018 YCS: Yu-Gi-Oh Championship Series - Utrecht - Round 10 - Luke Parkes vs Wolf Lechte
True,Yu-Gi-Oh Championship Series - Utrecht,Round 12,Uros Pavlovic,Unknown,Philipp Wolsdorfer,Unknown,PLIm0Rt8gzRburE-D3lYnL5QL6INZRSHn2,2018 YCS: Yu-Gi-Oh Championship Series - Utrecht - Round 12 - Uros Pavlovic vs Philipp Wolsdorfer
True,YCS Utrecht 2018,Round 11,George Apostolidis,Unknown,Severin Frank,Unknown,PLIm0Rt8gzRburE-D3lYnL5QL6INZRSHn2,2018 YCS: Yu-Gi-Oh Championship Series - Utrecht - Round 11 - George Apostolidis vs Severin Frank
True,Yu-Gi-Oh Championship Series - Utrecht,Top 32,Cevin Katter,Unknown,Christos Mourikis,Unknown,PLIm0Rt8gzRburE-D3lYnL5QL6INZRSHn2,2018 YCS: Yu-Gi-Oh Championship Series - Utrecht - Top 32 - Cevin Katter vs Christos Mourikis
True,Yu-Gi-Oh Championship Series - Utrecht,Top 64,Thomas Rose,Unknown,Matteo Pelloni,Unknown,PLIm0Rt8gzRburE-D3lYnL5QL6INZRSHn2,2018 YCS: Yu-Gi-Oh Championship Series - Utrecht - Top 64 - Thomas Rose vs Matteo Pelloni
True,YCS Utrecht 2018,Top 16,Sven Rebmann,Unknown,Marcel Hansch,Unknown,PLIm0Rt8gzRburE-D3lYnL5QL6INZRSHn2,2018 YCS: Yu-Gi-Oh Championship Series - Utrecht - Top 16 - Sven Rebmann vs Marcel Hansch
True,YCS Utrecht 2018,Top 8,Erikos Bek,Unknown,Niko Schlierkamp,Unknown,PLIm0Rt8gzRburE-D3lYnL5QL6INZRSHn2,2018 YCS: Yu-Gi-Oh Championship Series - Utrecht - Top 8 - Erikos Bek vs Niko Schlierkamp
True,2018 YCS: Yu-Gi-Oh Championship Series - Utrecht,Top 4,Dinh-Kha Bui,Unknown,Andreas Vrellos,Unknown,PLIm0Rt8gzRburE-D3lYnL5QL6INZRSHn2,2018 YCS: Yu-Gi-Oh Championship Series - Utrecht - Top 4 - Dinh-Kha Bui vs Andreas Vrellos
True,YCS Utrecht 2018,Final,Dinh-Kha Bui,Unknown,Niko Schlierkamp,Unknown,PLIm0Rt8gzRburE-D3lYnL5QL6INZRSHn2,2018 YCS: Yu-Gi-Oh Championship Series - Utrecht - Final - Dinh-Kha Bui vs Niko Schlierkamp
True,European Yu-Gi-Oh! Championship 2022,Final,Zio Mundry,Unknown,Marcus Patel,Unknown,PLIm0Rt8gzRbtsvJLX5Jz3_XP401RpPNw_,Final – Zio Mundry vs. Marcus Patel – European Yu-Gi-Oh! Championship 2022 – Day 2
True,European Yu-Gi-Oh! Championship 2022,Top 8,Ryhan Jabri,Unknown,Lars Junginger,Unknown,PLIm0Rt8gzRbtsvJLX5Jz3_XP401RpPNw_,Top 8 – Ryhan Jabri vs. Lars Junginger – European Yu-Gi-Oh! Championship 2022 – Day 2
True,European Yu-Gi-Oh! Championship 2022,Top 4,Zio Mundry,Unknown,Lars Junginger,Unknown,PLIm0Rt8gzRbtsvJLX5Jz3_XP401RpPNw_,Top 4 – Zio Mundry vs. Lars Junginger – European Yu-Gi-Oh! Championship 2022 – Day 2
True,European Yu-Gi-Oh! Championship 2022,Top 64,Calum Cook,Unknown,Georgi Kovachev,Unknown,PLIm0Rt8gzRbtsvJLX5Jz3_XP401RpPNw_,Top 64 – Calum Cook vs. Georgi Kovachev – European Yu-Gi-Oh! Championship 2022 – Day 2
True,European Yu-Gi-Oh! Championship 2022,Top 16,Joshua Schmidt,Unknown,Herman Hansson,Unknown,PLIm0Rt8gzRbtsvJLX5Jz3_XP401RpPNw_,Top 16 – Joshua Schmidt  vs. Herman Hansson – European Yu-Gi-Oh! Championship 2022 – Day 2
True,European Yu-Gi-Oh! Championship 2022,Top 32,Alex Robertson,Unknown,Lars Junginger,Unknown,PLIm0Rt8gzRbtsvJLX5Jz3_XP401RpPNw_,Top 32 – Alex Robertson vs. Lars Junginger – European Yu-Gi-Oh! Championship 2022 – Day 2
